lc,lr,hc,ln,ang,pk,gw,is_gw,iso,ld
aa,Africa,ET,Afaraf,Afar,6,am,False,aar,ltr
aaa,Africa,NG,Ghotuo,Ghotuo,7,en,False,aaa,ltr
aab,Africa,NG,Alumu-Tesu,Alumu-Tesu,8,en,False,aab,ltr
aac,Pacific,PG,Ari,Ari,9,tpi,False,aac,ltr
aac-x-siraul,Pacific,PG,Siraul,Siraul,8422,tpi,False,UNKNOWN,ltr
aad,Pacific,PG,Amal,Amal,10,tpi,False,aad,ltr
aae,Europe,IT,Arbëreshë Albanian,"Albanian, Arbëreshë",11,en,False,aae,ltr
aaf,Asia,IN,Aranadan,Aranadan,12,ml,False,aaf,ltr
aag,Pacific,PG,Ambrak,Ambrak,13,tpi,False,aag,ltr
aah,Pacific,PG,Abu' Arapesh,"Arapesh, Abu’",14,tpi,False,aah,ltr
aai,Pacific,PG,Arifama-Miniafia,Miniafia Oyan,15,tpi,False,aai,ltr
aak,Pacific,PG,Ankave,Ankave,16,tpi,False,aak,ltr
aal,Africa,CM,Afaɗə,Afade,17,fr,False,aal,ltr
aan,Americas,BR,Anambé,Anambé,18,pt,False,aan,ltr
aao,Africa,DZ,لهجة صحراوية,"Arabic, Algerian Saharan Spoken",19,ar,False,aao,rtl
aap,Americas,BR,Pará Arára,"Arára, Pará",20,pt,False,aap,ltr
aaq,Americas,US,Eastern Abnaki,"Abenaki, Eastern",21,en,False,aaq,ltr
aas,Africa,TZ,Aasáx,Aasáx,22,sw,False,aas,ltr
aat,Europe,GR,Arvanitika Albanian,"Albanian, Arvanitika",23,en,False,aat,ltr
aau,Pacific,PG,Abau,Abau,24,tpi,False,aau,ltr
aaw,Pacific,PG,Solong,Solong,25,tpi,False,aaw,ltr
aax,Asia,ID,Mandobo Atas,Mandobo Atas,26,id,False,aax,ltr
aaz,Asia,ID,Amarasi,Amarasi,27,id,False,aaz,ltr
ab,Asia,GE,"аҧсуа бызшәа, аҧсшәа",Abkhaz,28,ru,False,abk,ltr
aba,Africa,CI,Abé,Abé,29,fr,False,aba,ltr
abb,Africa,CM,Bankon,Bankon,30,fr,False,abb,ltr
abc,Asia,PH,Ambala Ayta,"Ayta, Ambala",31,ceb,False,abc,ltr
abd,Asia,PH,Manide,Manide,32,ilo,False,abd,ltr
abe,Americas,CA,Western Abnaki,"Abenaki, Western",33,en,False,abe,ltr
abf,Asia,MY,Abai Sungai,Abai Sungai,34,ms,False,abf,ltr
abg,Pacific,PG,Abaga,Abaga,35,tpi,False,abg,ltr
abh,Asia,TJ,Tajiki Arabic,"Arabic, Tajiki Spoken",36,ru,False,abh,rtl
